base_station,0,0	tunnel_tile_5,90,0	tunnel_tile_2,180,0	tunnel_tile_5,0,0		tunnel_tile_5,0,1	tunnel_tile_5,0,1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_5,0,1,tunnel_tile_blocker@0 -11 0 0 0 0	constrained_tunnel_tile_short,0,1	tunnel_tile_2,90,1	constrained_tunnel_tile_short,90,1	tunnel_tile_5,90,1	tunnel_tile_5,90,1	tunnel_tile_5,90,1	constrained_tunnel_tile_short,90,1	tunnel_tile_5,90,1	tunnel_tile_2,180,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,180,1,tunnel_tile_blocker@0 11 0 0 0 0
			tunnel_tile_5,0,0	constrained_tunnel_tile_short,270,1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,1	Rough Tunnel Tile Straight,90,1	Rough Tunnel Tile 4-way Intersection,0,1	tunnel_tile_5,90,1,Phone@8 1.6 0.004 -90 0 135	tunnel_tile_5,90,1	tunnel_tile_1,0,1	tunnel_tile_5,90,1	tunnel_tile_5,90,1	Rough Tunnel Tile 4-way Intersection,0,1,tunnel_tile_blocker@0 11 0 0 0 0;Extinguisher@0 0 0 0 0 0	tunnel_tile_5,90,1	tunnel_tile_5,90,1	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	constrained_tunnel_tile_tall,90,1	tunnel_tile_1,0,1,tunnel_tile_blocker@11 0 0 0 0 0
			tunnel_tile_5,0,0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,1	tunnel_tile_5,90,1,tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_7,0,0			tunnel_tile_2,90,1	constrained_tunnel_tile_short,90,1	tunnel_tile_5,90,1	tunnel_tile_1,0,1	tunnel_tile_5,90,1	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,90,1	constrained_tunnel_tile_short,90,1	tunnel_tile_2,180,1,Phone@0 5 0.004 -90 0 0
			tunnel_tile_5,0,0	tunnel_tile_5,0,1,tunnel_tile_blocker@0 -11 0 0 0 0;Phone@1.5 0 0.004 -90 0 0	tunnel_tile_5,0,1		constrained_tunnel_tile_short,0,0			Rough Tunnel Tile Straight,180,0,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,180,0,tunnel_tile_blocker@0 11 0 0 0 0	constrained_tunnel_tile_short,270,1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,1	tunnel_tile_5,90,1	tunnel_tile_1,0,1	tunnel_tile_5,90,1	tunnel_tile_5,90,1	tunnel_tile_5,90,1	constrained_tunnel_tile_short,90,1,tunnel_tile_blocker@11 0 0 0 0 0
			tunnel_tile_2,90,0	tunnel_tile_2,270,0	tunnel_tile_5,0,1,tunnel_tile_blocker@0 -11 0 0 0 0		tunnel_tile_5,0,0,tunnel_tile_blocker@0 -11 0 0 0 0;Drill@2 -0.5 0 0 0 0	tunnel_tile_7,90,-1,tunnel_tile_blocker@-11 0 5 0 0 0	tunnel_tile_6,270,-1	tunnel_tile_1,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_2,180,0,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	tunnel_tile_5,0,1				
			tunnel_tile_2,90,0,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 9 0 0 0 0	tunnel_tile_5,90,0	tunnel_tile_5,90,0	constrained_tunnel_tile_tall,90,0	Rough Tunnel Tile Straight,90,0	tunnel_tile_1,0,0,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_7,270,0	tunnel_tile_2,180,1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_2,180,1,tunnel_tile_blocker@-11 0 0 0 0 0	Rough Tunnel Tile Straight,0,1	tunnel_tile_1,0,1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,90,1,Drill@2 -1 0 0 0 0	tunnel_tile_6,90,0	tunnel_tile_5,90,0	constrained_tunnel_tile_short,90,0,tunnel_tile_blocker@11 0 0 0 0 0
				tunnel_tile_5,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@-11 0 0 0 0 0	Rough Tunnel Tile 4-way Intersection,0,0,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_5,90,0	tunnel_tile_7,90,-1	constrained_tunnel_tile_tall,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 9 0 0 0 0;Drill@0 0 0 0 0 0	tunnel_tile_2,180,-1,tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@-11 0 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0	constrained_tunnel_tile_short,0,1	tunnel_tile_5,0,1				
				constrained_tunnel_tile_tall,0,0	tunnel_tile_1,0,0,tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,0,0				Rough Tunnel Tile Straight,0,-1		tunnel_tile_5,180,-1	tunnel_tile_5,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_6,180,1,tunnel_tile_blocker@0 -11 5 0 0 0	tunnel_tile_5,0,1,tunnel_tile_blocker@0 -11 0 0 0 0				
				tunnel_tile_5,0,0	tunnel_tile_7,180,0	tunnel_tile_5,0,0,Drill@0 0 0 0 0 0		tunnel_tile_2,0,-2	tunnel_tile_7,270,-2	tunnel_tile_1,0,-1	tunnel_tile_5,90,-1	tunnel_tile_1,0,-1	constrained_tunnel_tile_short,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0;Rescue Randy@-1 -3 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0	constrained_tunnel_tile_tall,90,-1	tunnel_tile_2,270,-1		tunnel_tile_2,0,-1,tunnel_tile_blocker@11 0 0 0 0 0
constrained_tunnel_tile_short,270,0,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_5,270,0,Rescue Randy@0 0 0 0 0 0	constrained_tunnel_tile_tall,270,0	constrained_tunnel_tile_short,270,0	tunnel_tile_1,0,0,tunnel_tile_blocker@11 0 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,0,1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_2,180,0,tunnel_tile_blocker@-11 0 0 0 0 0		tunnel_tile_5,0,-2,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 11 0 0 0 0;tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_2,180,-1	constrained_tunnel_tile_short,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,270,-1,tunnel_tile_blocker@-11 0 0 0 0 0	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0	tunnel_tile_5,90,-1	tunnel_tile_1,0,-1,tunnel_tile_blocker@0 -11 0 0 0 0;tunnel_tile_blocker@11 0 0 0 0 0
